DISTRICT,Stamp Total Gr,Veh Total Gr,Inv Total Gr,Emp Total Gr
14_1,742016276,-14614,1299.6117,1515
14_2,158323536,-3309,76.2625,-308
14_3,380470513,-4987,43.9412,-94
14_4,377668274,-4326,369.5159,702
14_5,97906069,,1457.0994,1309
15_1,20645566450,28680,4781.8622,-61164
15_2,13984362048,2378,208.9942,-2514
15_3,420899061,-5712,30.6189,139
16_1,8010371373,14655,11.35,-56
17_1,603142542,-4293,898.3762,217
17_2,4890978693,-223,-2408.3532,-3629
17_3,821485066,-8177,748.8975,1627
18_1,606090735,-19470,-41.5958,-452
18_2,245629591,-10141,159.239,-832
19_1,155002593,-4849,-1.466,-108
19_2,244042645,-8325,-17.506,-173
19_3,579927829,-6947,152.4293,-299
19_4,70269957,-3022,0.3544,-182
20_1,1058518854,2165,-18.1202,-423
20_2,482104166,-12823,-32.644,-642
20_3,398147294,-6104,15.7716,636
20_4,370243821,-6751,12.1504,-206
21_1,1768126725,,153.9423,759
21_2,196404040,-28821,-12.0129,-903
21_3,499360637,-5252,23.9832,13
21_5,292860667,-9094,33.4563,-354
21_6,198197836,,-4.2513,-28
21_7,0,-7889,-2.4578,-115
22_1,985107967,-12572,-37.1036,517
22_2,171963306,-9920,964.049,-116
23_1,507997289,-13398,-1135.031,-5337
23_2,637101487,-9134,1108.1598,761
23_3,1575638904,-5643,-716.1994,2646
