district,Significant aspect,Population,Top Investment,Top Employer
Adilabad,Largest tiger reserve in India,2737499,"Cement, Concrete & Fly Ash Bricks","Cement, Concrete & Fly Ash Bricks"
Bhadradri Kothagudem,Major pilgrimage site,1901139,Paper and Printing,"Cement, Concrete & Fly Ash Bricks"
Hanumakonda,Historical fort,1526393,Renewable Energy,Others
Hyderabad,Capital city,6809970,Engineering,Engineering
Jagtial,Historical temples and forts,974445,Food Processing,Food Processing
Jangoan,Beautiful palace,597834,Food Processing,Food Processing
Jayashankar Bhupalpally,Handloom weaving industry and tribal culture,614902,Food Processing,Food Processing
Jogulamba Gadwal,Historical monuments,652142,Renewable Energy,Food Processing
Kamareddy,Largest sugarcane factory in Asia,983730,Renewable Energy,Pharma & Chemicals
Karimnagar,Temples,3811739,Granite & Stone,Granite & Stone
Khammam,Coal reserves and forests,2770894,Others,Granite & Stone
Kumurambheem Asifabad,Historical fort,509233,Paper and Printing,Food Processing
Mahabubabad,Limestone quarries and cement industry,774974,Food Processing,Food Processing
Mahabubnagar,Historical monuments,4042115,Renewable Energy,Pharma & Chemicals
Mancherial,Forests and wildlife,1051745,Renewable Energy,"Cement, Concrete & Fly Ash Bricks"
Medak,Historical fort,763195,Engineering,Engineering
Medchal_Malkajgiri,Lakes and parks,2462584,Pharma & Chemicals,Pharma & Chemicals
Mulugu,Tribal museum,383645,Food Processing,Food Processing
Nagarkurnool,Temples,897127,Food Processing,Food Processing
Nalgonda,Historical monuments,3589584,Pharma & Chemicals,Pharma & Chemicals
Narayanpet,Handloom weaving industry and tribal culture,564883,Beverages,Beverages
Nirmal,Cultural heritage and handicrafts,735314,Food Processing,Food Processing
Nizamabad,Historical fort,2553083,Food Processing,Food Processing
Peddapalli,Temples and fort,796048,Fertlizers & Related,Food Processing
Rajanna Sircilla,Historical monuments,578332,Food Processing,Food Processing
Rangareddy,Historical fort,5296973,Real Estate,Real Estate
Sangareddy,Temples,1527340,Pharma & Chemicals,Pharma & Chemicals
Siddipet,Historical monuments,994215,Agro & Cold Storage,Food Processing
Suryapet,Temples,1099560,"Cement, Concrete & Fly Ash Bricks",Pharma & Chemicals
Vikarabad,Historical monuments,817358,Engineering,Food Processing
Wanaparthy,Temples,920770,Beverages,Food Processing
Warangal,Historical monuments,3521942,Textiles,Textiles
Yadadri Bhuvanagiri,Major pilgrimage site,766363,Pharma & Chemicals,Pharma & Chemicals
