district,Agri,AutoR,MotorCar,MotorCycle,Non-Transport,Transport
Adilabad,1331,1997,6448,62561,70513,8804
Bhadradri Kothagudem,8564,5571,15053,106154,130170,16618
Hyderabad,84,35990,196428,854183,1053616,89885
Jagtial,7074,1754,9347,102227,118998,7544
Jangoan,7181,1467,4687,55403,67628,6670
Jayashankar Bhupalpally,9871,1567,6070,61034,77189,6443
Jogulamba Gadwal,4365,709,3707,64610,72904,4936
Kamareddy,5009,1986,9004,103986,118390,10258
Karimnagar,6960,3408,20201,108704,136683,22157
Khammam,11580,7414,23911,161383,197922,21933
Kumurambheem Asifabad,476,1895,2206,37733,40481,7529
Mahabubabad,4588,2518,5000,74232,84142,13418
Mahabubnagar,7517,5072,14873,128386,151532,18420
Mancherial,2075,3161,10216,70949,83485,12815
Medak,6996,3422,8337,70576,86392,12296
Medchal_Malkajgiri,1616,115,232514,686735,924389,67988
Nagarkurnool,9208,1781,7488,75197,92524,13619
Nalgonda,15330,6455,20825,163909,200940,27186
Nirmal,5424,1787,7325,74608,87725,6780
Nizamabad,8373,5224,24764,184706,218793,17318
Peddapalli,4581,1800,10176,68951,84051,8660
Rajanna Sircilla,3902,835,5376,56203,65685,6791
Rangareddy,1699,104,254022,598298,857810,68823
Sangareddy,6562,11024,52080,186260,246338,28993
Siddipet,11966,2506,13115,105980,131788,11066
Suryapet,13519,2762,12185,117325,143651,20356
Vikarabad,7995,11615,19373,125128,153215,20639
Wanaparthy,5190,1656,4839,55837,66276,6667
Warangal,8157,4778,24407,166957,200204,19262
Yadadri Bhuvanagiri,8521,4772,12453,81772,103437,15190
