district,Value,Growth %
Peddapalli,-99%,Inv_Growth_%
Adilabad,-81%,Inv_Growth_%
Warangal,-61%,Diesel_Growth %
Warangal,-54.74%,Petrol_Growth %
Khammam,-47%,Inv_Growth_%
Warangal,-44%,Inv_Growth_%
Jagtial,-42.08%,Petrol_Growth %
Jayashankar Bhupalpally,-39.12%,Petrol_Growth %
Nirmal,-38.71%,Petrol_Growth %
Mahabubabad,-37.45%,Petrol_Growth %
Jagtial,-37%,Diesel_Growth %
Mahabubnagar,-36.55%,Petrol_Growth %
Rajanna Sircilla,-36.42%,Petrol_Growth %
Nizamabad,-35.83%,Petrol_Growth %
Mahabubabad,-35%,Diesel_Growth %
Kamareddy,-34.63%,Petrol_Growth %
Jangoan,-34%,Diesel_Growth %
Peddapalli,-31.57%,Petrol_Growth %
Mancherial,-31.54%,Petrol_Growth %
Bhadradri Kothagudem,-31.09%,Petrol_Growth %
Jayashankar Bhupalpally,-30%,Diesel_Growth %
Mahabubnagar,-30%,Diesel_Growth %
Khammam,-29.78%,Petrol_Growth %
Adilabad,-29.49%,Petrol_Growth %
Wanaparthy,-29.27%,Petrol_Growth %
Jangoan,-29.18%,Petrol_Growth %
Kumurambheem Asifabad,-28.22%,Petrol_Growth %
Siddipet,-27.71%,Petrol_Growth %
Suryapet,-27.28%,Petrol_Growth %
Peddapalli,-27%,Diesel_Growth %
Nalgonda,-24.01%,Petrol_Growth %
Rajanna Sircilla,-23%,Diesel_Growth %
Nagarkurnool,-22.79%,Petrol_Growth %
Yadadri Bhuvanagiri,-22.77%,Petrol_Growth %
Medak,-22.31%,Petrol_Growth %
Nalgonda,-22%,Diesel_Growth %
Nizamabad,-22%,Diesel_Growth %
Jogulamba Gadwal,-21.35%,Petrol_Growth %
Mancherial,-20%,Diesel_Growth %
Jagtial,-18%,Inv_Growth_%
Suryapet,-18%,Diesel_Growth %
Vikarabad,-17.63%,Petrol_Growth %
Kamareddy,-17%,Diesel_Growth %
Karimnagar,-16.32%,Petrol_Growth %
Nirmal,-16%,Diesel_Growth %
Siddipet,-16%,Diesel_Growth %
Medak,-14%,Diesel_Growth %
Bhadradri Kothagudem,-12%,Diesel_Growth %
Khammam,-11%,Diesel_Growth %
Nagarkurnool,-9%,Diesel_Growth %
